1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : BARO1_WCF_ENABLE, Value : 0.0, Default : 0.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : BARO2_WCF_ENABLE, Value : 0.0, Default : 0.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : BARO3_WCF_ENABLE, Value : 0.0, Default : 0.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : BARO_FIELD_ELV, Value : 0.0, Default : 0.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : BARO_ALTERR_MAX, Value : 2000.0, Default : 2000.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : BARO_OPTIONS, Value : 0.0, Default : 0.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : GPS_NAVFILTER, Value : 8.0, Default : 8.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : GPS_AUTO_SWITCH, Value : 1.0, Default : 1.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : GPS_SBAS_MODE, Value : 2.0, Default : 2.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : GPS_MIN_ELEV, Value : -100.0, Default : -100.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : GPS_INJECT_TO, Value : 127.0, Default : 127.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : GPS_SBP_LOGMASK, Value : -256.0, Default : -256.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : GPS_RAW_DATA, Value : 0.0, Default : 0.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : GPS_SAVE_CFG, Value : 2.0, Default : 2.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : GPS_AUTO_CONFIG, Value : 1.0, Default : 1.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : GPS_BLEND_MASK, Value : 5.0, Default : 5.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : GPS_DRV_OPTIONS, Value : 0.0, Default : 0.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : GPS_PRIMARY, Value : 0.0, Default : 0.0}
